bp	annual_hunting_mortality
3736	0.023454
3735	0.023454
3734	0.023454
3733	0.023454
3732	0.023454
3731	0.023454
3730	0.023454
3729	0.023454
3728	0.023454
3727	0.023454
3726	0.023454
3725	0.023454
3724	0.023454
3723	0.023454
3722	0.023454
3721	0.023454
3720	0.023454
3719	0.023454
3718	0.023454
3717	0.023454
3716	0.023454
3715	0.023454
3714	0.023454
3713	0.023454
3712	0.023454
3711	0.023454
3710	0.023454
3709	0.023454
3708	0.023454
3707	0.023454
3706	0.023454
3705	0.023454
3704	0.023454
3703	0.023454
3702	0.023454
3701	0.023454
3700	0.023454
3699	0.023454
3698	0.023454
3697	0.023454
3696	0.023454
3695	0.023454
3694	0.023454
3693	0.023454
3692	0.023454
3691	0.023454
3690	0.023454
3689	0.023454
3688	0.023454
3687	0.023454
3686	0.023454
3685	0.023454
3684	0.023454
3683	0.023454
3682	0.023454
3681	0.023454
3680	0.023454
3679	0.023454
3678	0.023454
3677	0.023454
3676	0.023454
3675	0.023454
3674	0.023454
3673	0.023454
3672	0.023454
3671	0.023454
3670	0.023454
3669	0.023454
3668	0.023454
3667	0.023454
3666	0.023454
3665	0.023454
3664	0.023454
3663	0.023454
3662	0.023454
3661	0.023454
3660	0.023454
3659	0.023454
3658	0.023454
3657	0.023454
3656	0.023454
3655	0.023454
3654	0.023454
3653	0.023454
3652	0.023454
3651	0.023454
3650	0.023454
3649	0.023454
3648	0.023454
3647	0.023454
3646	0.023454
3645	0.023454
3644	0.023454
3643	0.023454
3642	0.023454
3641	0.023454
3640	0.023454
3639	0.023454
3638	0.023454
3637	0.023454
3636	0.023454
3635	0.023454
3634	0.023454
3633	0.023454
3632	0.023454
3631	0.023454
3630	0.023454
3629	0.023454
3628	0.023454
3627	0.023454
3626	0.023454
3625	0.023454
3624	0.023454
3623	0.023454
3622	0.023454
3621	0.023454
3620	0.023454
3619	0.023454
3618	0.023454
3617	0.023454
3616	0.023454
3615	0.023454
3614	0.023454
3613	0.023454
3612	0.023454
3611	0.023454
3610	0.023454
3609	0.023454
3608	0.023454
3607	0.023454
3606	0.023454
3605	0.023454
3604	0.023454
3603	0.023454
3602	0.023454
3601	0.023454
3600	0.023454
3599	0.023360
3598	0.023265
3597	0.023171
3596	0.023077
3595	0.022982
3594	0.022888
3593	0.022793
3592	0.022699
3591	0.022605
3590	0.022510
3589	0.022416
3588	0.022321
3587	0.022227
3586	0.022132
3585	0.022038
3584	0.021944
3583	0.021849
3582	0.021755
3581	0.021660
3580	0.021566
3579	0.021471
3578	0.021377
3577	0.021283
3576	0.021188
3575	0.021094
3574	0.020999
3573	0.020905
3572	0.020810
3571	0.020716
3570	0.020622
3569	0.020527
3568	0.020433
3567	0.020338
3566	0.020244
3565	0.020150
3564	0.020055
3563	0.019961
3562	0.019866
3561	0.019772
3560	0.019677
3559	0.019583
3558	0.019489
3557	0.019394
3556	0.019300
3555	0.019205
3554	0.019111
3553	0.019016
3552	0.018922
3551	0.018828
3550	0.018733
3549	0.018639
3548	0.018544
3547	0.018450
3546	0.018356
3545	0.018261
3544	0.018167
3543	0.018072
3542	0.017978
3541	0.017883
3540	0.017789
3539	0.017695
3538	0.017600
3537	0.017506
3536	0.017411
3535	0.017317
3534	0.017222
3533	0.017128
3532	0.017034
3531	0.016939
3530	0.016845
3529	0.016750
3528	0.016656
3527	0.016561
3526	0.016467
3525	0.016373
3524	0.016278
3523	0.016184
3522	0.016089
3521	0.015995
3520	0.015901
3519	0.015806
3518	0.015712
3517	0.015617
3516	0.015523
3515	0.015428
3514	0.015334
3513	0.015240
3512	0.015145
3511	0.015051
3510	0.014956
3509	0.014862
3508	0.014767
3507	0.014673
3506	0.014579
3505	0.014484
3504	0.014390
3503	0.014295
3502	0.014201
3501	0.014107
3500	0.014012
3499	0.013918
3498	0.013823
3497	0.013729
3496	0.013634
3495	0.013540
3494	0.013446
3493	0.013351
3492	0.013257
3491	0.013162
3490	0.013068
3489	0.012973
3488	0.012879
3487	0.012785
3486	0.012690
3485	0.012596
3484	0.012501
3483	0.012407
3482	0.012313
3481	0.012218
3480	0.012124
3479	0.012029
3478	0.011935
3477	0.011840
3476	0.011746
3475	0.011652
3474	0.011557
3473	0.011463
3472	0.011368
3471	0.011274
3470	0.011179
3469	0.011085
3468	0.010991
3467	0.010896
3466	0.010802
3465	0.010707
3464	0.010613
3463	0.010518
3462	0.010424
3461	0.010330
3460	0.010235
