cycle	bp	scenario	genetic_mode	stage	N	age_0_1	age_2_4	age_5_9	age_10_14	age_15_19	age_20_28	OMU_count	dominant_males	dominant_candidate_males	backup_candidate_males	AMU_dominant_candidate_males	AMU_backup_candidate_males	vacant_OMU_count	invalid_dominant_males	duplicate_dominant_males
107	43	M2	selected	post_mortality	99	25	30	26	14	3	1	6	5	6	14	1	9	1	0	0
108	42	M2	selected	pre_breeding	99	15	30	30	18	5	1	6	6	8	16	2	10	0	0	0
108	42	M2	selected	post_mortality	101	27	29	25	16	3	1	6	5	6	13	1	8	1	0	0
109	41	M2	selected	pre_breeding	101	13	32	31	18	5	2	6	6	9	17	3	11	0	0	0
109	41	M2	selected	post_mortality	103	28	27	27	16	4	1	6	6	8	15	2	9	0	0	0
110	40	M2	selected	pre_breeding	103	15	33	34	12	8	1	6	6	6	18	0	12	0	0	0
110	40	M2	selected	post_mortality	98	26	27	30	8	6	1	6	4	4	15	0	11	2	0	0
111	39	M2	selected	pre_breeding	98	14	34	30	12	7	1	6	6	5	20	0	14	0	0	0
111	39	M2	selected	post_mortality	104	28	33	28	9	5	1	6	4	3	15	0	11	2	0	0
112	38	M2	selected	pre_breeding	104	17	34	33	13	6	1	6	6	6	16	1	10	0	0	0
