cycle	bp	scenario	genetic_mode	stage	N	age_0_1	age_2_4	age_5_9	age_10_14	age_15_19	age_20_28	OMU_count	dominant_males	dominant_candidate_males	backup_candidate_males	AMU_dominant_candidate_males	AMU_backup_candidate_males	vacant_OMU_count	invalid_dominant_males	duplicate_dominant_males
106	44	M3	selected	pre_breeding	89	9	32	24	17	5	2	4	4	10	14	6	10	0	0	0
106	44	M3	selected	post_mortality	94	23	31	21	13	4	2	4	3	8	11	5	8	1	0	0
107	43	M3	selected	pre_breeding	94	15	29	27	15	6	2	5	5	9	15	4	10	0	0	0
107	43	M3	selected	post_mortality	86	24	23	20	14	5	0	5	5	8	12	3	7	0	0	0
108	42	M3	selected	pre_breeding	86	10	31	25	12	6	2	5	5	7	14	2	9	0	0	0
108	42	M3	selected	post_mortality	88	19	28	22	12	5	2	5	5	7	14	2	9	0	0	0
109	41	M3	selected	pre_breeding	88	10	29	29	12	6	2	5	5	6	17	1	12	0	0	0
109	41	M3	selected	post_mortality	84	19	25	25	8	5	2	5	3	4	12	1	9	2	0	0
110	40	M3	selected	pre_breeding	84	13	25	28	9	6	3	5	5	6	15	1	10	0	0	0
110	40	M3	selected	post_mortality	91	25	22	28	7	6	3	5	4	5	14	1	10	1	0	0
111	39	M3	selected	pre_breeding	91	12	27	32	10	6	4	5	5	6	17	1	12	0	0	0
111	39	M3	selected	post_mortality	93	24	22	29	9	5	4	5	5	5	15	0	10	0	0	0
112	38	M3	selected	pre_breeding	93	13	26	29	14	6	5	5	5	6	19	1	14	0	0	0
112	38	M3	selected	post_mortality	93	21	25	26	12	6	3	5	5	6	17	1	12	0	0	0
113	37	M3	selected	pre_breeding	93	11	32	26	15	6	3	5	5	7	19	2	14	0	0	0
113	37	M3	selected	post_mortality	86	22	24	23	11	5	1	5	5	6	16	1	11	0	0	0
114	36	M3	selected	pre_breeding	86	12	23	31	13	5	2	5	5	7	18	2	13	0	0	0
114	36	M3	selected	post_mortality	92	27	21	27	12	3	2	5	5	7	18	2	13	0	0	0
115	35	M3	selected	pre_breeding	92	16	25	28	17	2	4	5	5	12	18	7	13	0	0	0
